CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
"Lancaster, PA",29540,2024,182,93,86,3,0,0,0,125,72,50,0,0,83,99,0
"Lansing-East Lansing, MI",29620,2024,274,229,45,0,0,0,0,85,55,40,0,1,211,62,0
"Laramie, WY",29660,2024,240,117,110,12,1,0,0,187,87,51,0,0,204,5,31
"Laredo, TX",29700,2024,183,81,91,11,0,0,0,129,88,52,1,0,64,117,1
"Las Cruces, NM",29740,2024,182,62,104,8,2,2,4,692,97,58,0,2,92,56,32
"Las Vegas-Henderson-Paradise, NV",29820,2024,275,68,169,37,1,0,0,170,105,67,1,0,224,41,9
"Lawrenceburg, TN",29980,2024,176,126,50,0,0,0,0,80,57,39,0,0,0,176,0
"Lawton, OK",30020,2024,270,175,90,5,0,0,0,133,77,44,0,0,147,123,0
"Lebanon, PA",30140,2024,182,120,60,2,0,0,0,108,65,43,0,0,94,88,0
"Lewiston, ID-WA",30300,2024,272,183,83,2,4,0,0,196,70,35,0,0,0,272,0
"Lewiston-Auburn, ME",30340,2024,305,281,24,0,0,0,0,77,48,33,0,0,171,132,2
"Lexington-Fayette, KY",30460,2024,187,152,35,0,0,0,0,93,54,42,0,3,100,79,5
"Lima, OH",30620,2024,274,200,74,0,0,0,0,97,61,43,0,0,171,103,0
"Lincoln, NE",30700,2024,152,125,27,0,0,0,0,67,56,43,0,0,111,41,0
"Little Rock-North Little Rock-Conway, AR",30780,2024,275,104,167,3,0,1,0,205,74,53,1,0,56,218,0
"Logan, UT-ID",30860,2024,274,172,99,2,1,0,0,161,75,46,0,0,197,77,0
"Longview, TX",30980,2024,180,166,13,1,0,0,0,129,50,37,0,7,173,0,0
"Longview, WA",31020,2024,213,207,6,0,0,0,0,67,34,20,0,0,0,213,0
"Los Alamos, NM",31060,2024,20,20,0,0,0,0,0,16,14,9,0,0,0,20,0
"Los Angeles-Long Beach-Anaheim, CA",31080,2024,245,36,124,45,34,6,0,230,164,75,1,1,149,91,3
"Louisville/Jefferson County, KY-IN",31140,2024,295,156,133,5,1,0,0,156,71,49,0,3,154,138,0
"Lubbock, TX",31180,2024,175,162,13,0,0,0,0,91,43,19,0,0,0,175,0
"Ludington, MI",31220,2024,213,191,22,0,0,0,0,97,51,37,0,0,213,0,0
"Lynchburg, VA",31340,2024,90,75,15,0,0,0,0,61,53,29,0,0,0,90,0
"Macon, GA",31420,2024,274,136,136,2,0,0,0,123,66,51,0,0,40,234,0
"Madison, WI",31540,2024,182,132,50,0,0,0,0,77,58,43,0,0,73,100,9
"Manchester-Nashua, NH",31700,2024,183,165,18,0,0,0,0,97,50,38,1,0,177,5,0
"Manitowoc, WI",31820,2024,98,87,8,3,0,0,0,115,51,41,0,0,98,0,0
"Marietta, OH",31930,2024,213,185,28,0,0,0,0,90,54,41,0,0,213,0,0
"Marquette, MI",32100,2024,149,131,18,0,0,0,0,67,52,21,0,0,0,149,0
"Marshall, MN",32140,2024,182,154,27,1,0,0,0,142,55,39,0,0,100,76,6
"Mayaguez, PR",32420,2024,176,176,0,0,0,0,0,39,29,15,0,0,108,68,0
"McAlester, OK",32540,2024,272,150,120,2,0,0,0,102,66,48,0,0,96,176,0
"McAllen-Edinburg-Mission, TX",32580,2024,182,53,106,18,5,0,0,157,105,60,0,0,16,161,5
"Medford, OR",32780,2024,274,215,57,1,1,0,0,152,60,39,0,0,58,216,0
"Memphis, TN-MS-AR",32820,2024,305,93,205,5,2,0,0,159,78,56,0,0,81,224,0
"Merced, CA",32900,2024,182,110,67,5,0,0,0,133,74,47,0,0,124,57,1
"Meridian, MS",32940,2024,214,213,1,0,0,0,0,51,45,36,0,0,214,0,0
"Miami, OK",33060,2024,213,104,108,0,0,1,0,288,69,51,0,0,45,164,4
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,2024,274,123,147,1,3,0,0,197,64,51,0,3,60,210,1
"Michigan City-La Porte, IN",33140,2024,274,190,82,2,0,0,0,115,67,43,0,0,218,56,0
"Middlesborough, KY",33180,2024,182,120,62,0,0,0,0,88,63,45,0,0,75,107,0
"Milwaukee-Waukesha-West Allis, WI",33340,2024,183,131,49,3,0,0,0,129,66,44,1,8,90,80,4
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2024,183,118,61,2,2,0,0,166,68,45,1,0,107,74,1
"Minot, ND",33500,2024,274,217,48,7,2,0,0,152,63,39,0,0,168,106,0
"Missoula, MT",33540,2024,182,127,55,0,0,0,0,92,64,42,0,0,100,82,0
"Mobile, AL",33660,2024,212,135,77,0,0,0,0,80,58,46,0,0,59,152,1
"Modesto, CA",33700,2024,184,109,71,4,0,0,0,143,74,47,0,0,109,74,1
"Monroe, LA",33740,2024,305,247,58,0,0,0,0,97,57,41,0,0,228,77,0
"Montgomery, AL",33860,2024,205,138,67,0,0,0,0,75,57,44,0,0,70,134,1
"Morehead City, NC",33980,2024,243,236,7,0,0,0,0,71,46,37,0,0,243,0,0
"Morgantown, WV",34060,2024,139,116,23,0,0,0,0,71,53,42,0,0,109,30,0
"Morristown, TN",34100,2024,122,111,11,0,0,0,0,97,49,41,0,0,122,0,0
"Moscow, ID",34140,2024,182,178,4,0,0,0,0,59,31,19,0,0,0,182,0
"Moses Lake, WA",34180,2024,213,194,19,0,0,0,0,76,48,22,0,0,0,213,0
"Mount Vernon, IL",34500,2024,274,170,103,1,0,0,0,112,61,46,0,0,101,173,0
"Mount Vernon, OH",34540,2024,245,208,36,1,0,0,0,101,54,41,0,0,245,0,0
"Mount Vernon-Anacortes, WA",34580,2024,213,209,4,0,0,0,0,57,39,26,0,0,59,154,0
"Muncie, IN",34620,2024,305,205,100,0,0,0,0,97,62,44,0,0,187,118,0
"Muscatine, IA",34700,2024,305,231,74,0,0,0,0,78,55,38,0,0,0,305,0
"Muskegon, MI",34740,2024,212,174,34,4,0,0,0,122,61,40,0,0,212,0,0
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820,2024,274,215,59,0,0,0,0,87,55,41,0,0,144,130,0
"Naples-Immokalee-Marco Island, FL",34940,2024,182,125,57,0,0,0,0,87,58,45,0,0,70,112,0
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,2024,182,85,95,2,0,0,0,119,61,51,0,3,58,121,0
"New Castle, IN",35220,2024,268,208,60,0,0,0,0,75,56,35,0,0,0,268,0
"New Haven-Milford, CT",35300,2024,183,132,43,7,1,0,0,156,59,42,1,7,111,64,0
"New Orleans-Metairie, LA",35380,2024,306,153,147,5,1,0,0,188,71,51,1,3,141,160,1
"New York-Newark-Jersey City, NY-NJ-PA",35620,2024,275,120,135,17,3,0,0,156,93,53,1,9,149,116,0
"Niles-Benton Harbor, MI",35660,2024,204,167,36,1,0,0,0,101,61,42,0,0,204,0,0
"Nogales, AZ",35700,2024,270,203,64,2,0,0,1,494,63,38,0,0,0,216,54
"North Port-Sarasota-Bradenton, FL",35840,2024,274,170,103,1,0,0,0,115,63,46,0,0,104,170,0
"Norwich-New London, CT",35980,2024,182,158,21,3,0,0,0,122,53,38,0,0,108,74,0
"Ocala, FL",36100,2024,182,75,106,1,0,0,0,101,61,52,0,0,45,137,0
"Odessa, TX",36220,2024,180,137,43,0,0,0,0,88,58,34,0,0,0,180,0
"Ogden-Clearfield, UT",36260,2024,278,133,126,19,0,0,0,133,93,51,1,4,232,35,6
"Oklahoma City, OK",36420,2024,275,101,160,14,0,0,0,136,84,54,1,2,144,127,1
"Olympia-Tumwater, WA",36500,2024,211,203,8,0,0,0,0,85,42,26,0,0,89,122,0
"Omaha-Council Bluffs, NE-IA",36540,2024,305,161,142,2,0,0,0,110,65,49,0,0,157,126,22
"Orlando-Kissimmee-Sanford, FL",36740,2024,275,192,80,3,0,0,0,149,61,43,1,1,172,101,0
"Othello, WA",36830,2024,213,207,6,0,0,0,0,65,33,15,0,0,0,213,0
"Owensboro, KY",36980,2024,107,94,13,0,0,0,0,100,51,43,0,0,107,0,0
"Oxnard-Thousand Oaks-Ventura, CA",37100,2024,213,120,89,4,0,0,0,122,68,48,0,0,136,76,1
"Paducah, KY-IL",37140,2024,182,140,41,1,0,0,0,101,53,43,0,6,87,89,0
"Pahrump, NV",37220,2024,182,173,9,0,0,0,0,89,40,19,0,0,0,0,182
"Palatka, FL",37260,2024,178,164,13,1,0,0,0,112,47,22,0,0,0,0,178
"Palm Bay-Melbourne-Titusville, FL",37340,2024,182,148,34,0,0,0,0,74,54,43,0,0,152,30,0
"Panama City, FL",37460,2024,180,93,87,0,0,0,0,72,60,49,0,0,41,139,0
"Parkersburg-Vienna, WV",37620,2024,140,111,29,0,0,0,0,100,58,42,0,0,106,34,0
"Payson, AZ",37740,2024,274,123,122,27,2,0,0,159,101,54,0,0,259,0,15
"Pensacola-Ferry Pass-Brent, FL",37860,2024,182,109,73,0,0,0,0,84,61,47,0,0,77,105,0
"Peoria, IL",37900,2024,252,174,78,0,0,0,0,100,61,44,0,0,146,106,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,2024,305,138,159,8,0,0,0,150,77,52,0,2,149,154,0
"Phoenix-Mesa-Scottsdale, AZ",38060,2024,275,38,182,50,3,2,0,289,113,74,1,1,174,58,41
"Pierre, SD",38180,2024,182,178,4,0,0,0,0,69,20,1,0,0,0,182,0
"Pittsburgh, PA",38300,2024,183,88,94,1,0,0,0,103,77,52,1,0,85,97,0
"Pittsfield, MA",38340,2024,244,194,50,0,0,0,0,97,58,40,0,0,174,70,0
"Platteville, WI",38420,2024,182,145,37,0,0,0,0,80,54,31,0,0,0,182,0
"Pocatello, ID",38540,2024,182,169,13,0,0,0,0,67,47,35,0,0,84,54,44
"Ponca City, OK",38620,2024,264,156,103,4,1,0,0,193,62,44,0,0,0,264,0
"Ponce, PR",38660,2024,175,165,10,0,0,0,0,82,37,3,120,0,0,49,6
"Port Angeles, WA",38820,2024,213,198,15,0,0,0,0,59,45,36,0,0,141,72,0
"Port St. Lucie, FL",38940,2024,182,157,25,0,0,0,0,71,53,42,0,0,141,41,0
"Portland-South Portland, ME",38860,2024,305,233,71,1,0,0,0,129,59,40,0,0,203,98,4
"Portland-Vancouver-Hillsboro, OR-WA",38900,2024,274,235,38,1,0,0,0,105,54,36,0,2,151,121,0
"Portsmouth, OH",39020,2024,274,182,92,0,0,0,0,80,61,41,0,0,0,268,6
"Price, UT",39220,2024,274,189,84,1,0,0,0,112,64,46,0,0,267,7,0
"Providence-Warwick, RI-MA",39300,2024,250,188,59,3,0,0,0,147,61,42,1,2,173,69,5
"Provo-Orem, UT",39340,2024,275,151,115,8,1,0,0,151,84,48,1,1,221,52,0
"Pueblo, CO",39380,2024,274,173,93,8,0,0,0,143,77,47,0,0,220,48,6
"Pullman, WA",39420,2024,213,196,17,0,0,0,0,80,43,16,0,0,0,213,0
"Quincy, IL-MO",39500,2024,204,189,15,0,0,0,0,97,49,43,0,0,204,0,0
"Racine, WI",39540,2024,98,78,19,1,0,0,0,140,64,44,0,0,98,0,0
"Raleigh, NC",39580,2024,274,190,83,1,0,0,0,112,63,44,0,0,184,90,0
"Rapid City, SD",39660,2024,182,116,65,1,0,0,0,111,67,47,0,0,139,13,30
"Reading, PA",39740,2024,182,126,54,2,0,0,0,105,62,43,0,0,119,63,0
"Red Bluff, CA",39780,2024,182,151,30,1,0,0,0,105,64,38,0,0,156,26,0
"Red Wing, MN",39860,2024,121,108,13,0,0,0,0,67,51,40,0,0,121,0,0
"Redding, CA",39820,2024,211,178,32,1,0,0,0,108,54,43,0,0,184,18,9
"Reno, NV",39900,2024,244,128,113,3,0,0,0,108,77,50,1,2,211,30,0
"Richmond, VA",40060,2024,275,191,83,1,0,0,0,112,57,44,1,9,138,127,0
"Riverside-San Bernardino-Ontario, CA",40140,2024,245,27,109,43,45,21,0,227,192,97,1,1,155,63,25
"Riverton, WY",40180,2024,213,133,80,0,0,0,0,100,67,48,0,0,145,68,0
"Roanoke Rapids, NC",40260,2024,213,177,36,0,0,0,0,82,53,27,0,36,0,177,0
"Roanoke, VA",40220,2024,275,217,58,0,0,0,0,68,54,41,1,4,142,128,0
"Rochester, MN",40340,2024,182,149,32,0,1,0,0,155,56,41,0,0,104,78,0
"Rochester, NY",40380,2024,275,192,83,0,0,0,0,90,58,41,1,1,126,147,0
"Rock Springs, WY",40540,2024,213,154,57,2,0,0,0,137,64,45,0,1,156,33,23
"Rockford, IL",40420,2024,274,190,81,3,0,0,0,119,61,44,0,0,146,128,0
"Rocky Mount, NC",40580,2024,264,235,29,0,0,0,0,80,51,37,0,0,177,87,0
"Rome, GA",40660,2024,271,187,84,0,0,0,0,89,60,38,0,0,0,271,0
"Roswell, NM",40740,2024,20,16,4,0,0,0,0,62,58,23,0,0,0,20,0
"Ruidoso, NM",40760,2024,20,20,0,0,0,0,0,26,18,7,0,0,0,20,0
"Rutland, VT",40860,2024,183,154,29,0,0,0,0,77,55,38,1,0,106,76,0
"Sacramento--Roseville--Arden-Arcade, CA",40900,2024,274,134,123,17,0,0,0,140,90,51,0,0,187,87,0
"Salem, OH",41400,2024,48,48,0,0,0,0,0,34,19,12,0,0,0,0,48
"Salem, OR",41420,2024,274,245,29,0,0,0,0,79,51,28,0,0,60,214,0
"Salinas, CA",41500,2024,183,150,33,0,0,0,0,68,54,39,1,0,115,65,2
"Salisbury, MD-DE",41540,2024,182,149,33,0,0,0,0,87,54,42,0,0,132,50,0
"Salt Lake City, UT",41620,2024,306,149,125,28,3,1,0,230,101,51,1,6,210,86,3
"San Antonio-New Braunfels, TX",41700,2024,183,63,104,14,2,0,0,199,91,57,1,0,45,134,3
"San Diego-Carlsbad, CA",41740,2024,254,124,111,18,1,0,0,159,93,51,0,0,203,51,0
"San Francisco-Oakland-Hayward, CA",41860,2024,61,30,31,0,0,0,0,67,59,51,1,0,5,55,0
"San Jose-Sunnyvale-Santa Clara, CA",41940,2024,244,164,79,1,0,0,0,105,61,44,0,1,167,76,0
"San Juan-Carolina-Caguas, PR",41980,2024,274,147,85,31,11,0,0,162,121,43,92,0,9,162,11
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,2024,182,128,53,1,0,0,0,101,64,44,0,0,146,36,0
"Sandpoint, ID",41760,2024,181,173,8,0,0,0,0,73,43,22,0,0,0,161,20
"Santa Cruz-Watsonville, CA",42100,2024,182,151,31,0,0,0,0,66,53,39,0,0,74,108,0
"Santa Fe, NM",42140,2024,180,126,54,0,0,0,0,93,74,45,0,0,177,3,0
"Santa Maria-Santa Barbara, CA",42200,2024,183,126,56,1,0,0,0,108,57,44,1,0,100,79,3
"Santa Rosa, CA",42220,2024,182,181,1,0,0,0,0,53,34,14,2,0,44,14,122
"Savannah, GA",42340,2024,270,182,87,1,0,0,0,130,58,43,0,0,64,206,0
"Sayre, PA",42380,2024,179,139,40,0,0,0,0,74,55,39,0,0,110,69,0
"Scottsbluff, NE",42420,2024,246,226,20,0,0,0,0,88,46,11,0,0,0,246,0
"Scranton--Wilkes-Barre--Hazleton, PA",42540,2024,232,203,29,0,0,0,0,97,51,35,50,9,126,47,0
"Seattle-Tacoma-Bellevue, WA",42660,2024,214,128,78,3,2,1,2,354,65,46,1,1,107,105,0
"Sebastian-Vero Beach, FL",42680,2024,235,234,1,0,0,0,0,51,44,35,0,0,235,0,0
"Sebring, FL",42700,2024,181,151,30,0,0,0,0,77,58,41,0,0,181,0,0
"Sevierville, TN",42940,2024,244,179,65,0,0,0,0,93,64,45,0,0,244,0,0
"Sheboygan, WI",43100,2024,98,85,10,3,0,0,0,133,58,42,0,0,98,0,0
"Shelton, WA",43220,2024,213,206,7,0,0,0,0,59,34,16,0,0,0,213,0
"Sheridan, WY",43260,2024,213,177,34,1,0,1,0,205,61,43,0,0,150,61,2
"Show Low, AZ",43320,2024,274,274,0,0,0,0,0,45,19,11,0,0,0,6,268
"Shreveport-Bossier City, LA",43340,2024,305,131,170,4,0,0,0,111,67,52,0,0,99,204,2
"Sierra Vista-Douglas, AZ",43420,2024,274,163,98,11,1,0,1,307,80,49,0,0,231,0,43
"Sioux City, IA-NE-SD",43580,2024,264,215,49,0,0,0,0,84,57,43,0,0,219,45,0
"Sioux Falls, SD",43620,2024,183,162,21,0,0,0,0,81,52,33,1,7,125,48,2
"Somerset, KY",43700,2024,182,147,35,0,0,0,0,68,55,42,0,0,85,97,0
"Somerset, PA",43740,2024,237,210,27,0,0,0,0,90,51,40,0,0,237,0,0
"Sonora, CA",43760,2024,178,160,17,1,0,0,0,101,51,38,0,0,178,0,0
"South Bend-Mishawaka, IN-MI",43780,2024,274,169,104,1,0,0,0,115,67,47,0,0,169,105,0
"Spartanburg, SC",43900,2024,271,141,126,4,0,0,0,112,71,49,0,0,134,137,0
"Spokane-Spokane Valley, WA",44060,2024,213,152,61,0,0,0,0,100,65,42,0,0,82,112,19
"Springfield, IL",44100,2024,274,187,86,1,0,0,0,105,58,43,0,0,129,145,0
"Springfield, MA",44140,2024,249,186,60,3,0,0,0,119,63,40,0,3,173,73,0
"Springfield, MO",44180,2024,179,113,66,0,0,0,0,82,61,45,0,0,76,103,0
"Springfield, OH",44220,2024,274,173,98,3,0,0,0,133,64,46,0,0,131,143,0
"St. Cloud, MN",41060,2024,182,151,31,0,0,0,0,97,54,39,0,0,106,76,0
"St. George, UT",41100,2024,274,188,84,2,0,0,0,108,71,47,0,0,271,3,0
"St. Joseph, MO-KS",41140,2024,178,106,72,0,0,0,0,76,59,48,0,0,80,93,5
"St. Louis, MO-IL",41180,2024,274,92,171,8,3,0,0,165,84,55,0,2,98,158,16
"St. Marys, PA",41260,2024,237,224,13,0,0,0,0,67,48,36,0,0,237,0,0
"State College, PA",44300,2024,238,192,46,0,0,0,0,93,61,42,0,1,207,30,0
"Steamboat Springs, CO",44460,2024,273,272,1,0,0,0,0,53,29,13,0,0,0,0,273
"Stockton-Lodi, CA",44700,2024,182,118,64,0,0,0,0,90,65,44,0,0,70,109,3
"Summerville, GA",44900,2024,182,173,9,0,0,0,0,77,49,39,0,0,182,0,0
"Syracuse, NY",45060,2024,274,232,42,0,0,0,0,84,54,38,0,0,200,74,0
"Tallahassee, FL",45220,2024,182,101,80,1,0,0,0,129,64,48,0,0,51,131,0
"Tampa-St. Petersburg-Clearwater, FL",45300,2024,275,128,143,4,0,0,0,143,67,51,1,0,91,181,2
"Taos, NM",45340,2024,181,181,0,0,0,0,0,46,31,14,0,0,0,181,0
"Terre Haute, IN",45460,2024,274,149,124,1,0,0,0,112,64,48,0,0,116,158,0
"Texarkana, TX-AR",45500,2024,181,97,84,0,0,0,0,92,62,48,0,0,0,181,0
"The Dalles, OR",45520,2024,180,165,15,0,0,0,0,75,44,19,0,0,0,180,0
"Toledo, OH",45780,2024,274,114,156,4,0,0,0,119,77,53,0,0,126,148,0
"Topeka, KS",45820,2024,182,140,41,1,0,0,0,125,61,44,0,0,132,49,1
"Torrington, CT",45860,2024,181,153,22,6,0,0,0,119,58,40,2,0,170,9,0
"Traverse City, MI",45900,2024,214,190,22,2,0,0,0,101,51,38,0,0,214,0,0
"Trenton, NJ",45940,2024,243,165,73,5,0,0,0,133,74,44,0,0,179,64,0
"Truckee-Grass Valley, CA",46020,2024,182,159,23,0,0,0,0,97,51,34,0,0,135,47,0
"Tucson, AZ",46060,2024,275,105,159,9,2,0,0,171,90,58,1,0,201,43,30
"Tulsa, OK",46140,2024,275,115,149,10,1,0,0,179,84,52,1,0,155,118,1
"Tupelo, MS",46180,2024,214,192,22,0,0,0,0,87,51,41,0,0,214,0,0
"Tuscaloosa, AL",46220,2024,212,185,25,2,0,0,0,125,53,36,0,0,108,104,0
"Twin Falls, ID",46300,2024,171,158,13,0,0,0,0,59,48,14,0,0,0,171,0
"Tyler, TX",46340,2024,182,155,27,0,0,0,0,93,61,40,0,0,182,0,0
"Urban Honolulu, HI",46520,2024,183,180,3,0,0,0,0,85,42,34,1,0,108,74,0
"Utica-Rome, NY",46540,2024,257,216,41,0,0,0,0,68,53,27,0,0,0,257,0
"Valdosta, GA",46660,2024,241,156,84,1,0,0,0,110,59,43,0,0,0,241,0
"Vallejo-Fairfield, CA",46700,2024,274,255,19,0,0,0,0,80,48,37,0,2,250,22,0
"Vermillion, SD",46820,2024,182,150,32,0,0,0,0,84,56,40,0,0,125,57,0
"Vernal, UT",46860,2024,274,175,96,3,0,0,0,119,71,47,0,0,258,16,0
"Victoria, TX",47020,2024,182,169,13,0,0,0,0,97,47,36,0,0,182,0,0
"Vincennes, IN",47180,2024,238,203,35,0,0,0,0,90,58,41,0,0,238,0,0
"Vineland-Bridgeton, NJ",47220,2024,178,151,27,0,0,0,0,100,52,39,0,3,141,34,0
"Vineyard Haven, MA",47240,2024,240,222,17,1,0,0,0,108,48,39,0,0,238,2,0
"Virginia Beach-Norfolk-Newport News, VA-NC",47260,2024,275,200,75,0,0,0,0,90,57,43,1,9,135,130,0
"Visalia-Porterville, CA",47300,2024,244,72,102,54,16,0,0,185,140,65,0,0,172,71,1
"Wabash, IN",47340,2024,244,217,27,0,0,0,0,84,51,39,0,0,244,0,0
"Waco, TX",47380,2024,183,90,92,1,0,0,0,102,72,51,2,0,51,130,0
"Walla Walla, WA",47460,2024,244,208,36,0,0,0,0,90,57,39,0,0,197,42,5
"Warner Robins, GA",47580,2024,270,186,83,1,0,0,0,105,60,42,0,0,0,270,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,2024,305,175,122,8,0,0,0,129,77,48,0,8,196,101,0
"Waterloo-Cedar Falls, IA",47940,2024,304,176,128,0,0,0,0,87,61,48,0,0,103,201,0
"Watertown, SD",47980,2024,177,149,28,0,0,0,0,94,54,34,0,0,64,109,4
"Watertown-Fort Atkinson, WI",48020,2024,97,84,13,0,0,0,0,87,51,41,0,0,97,0,0
"Watertown-Fort Drum, NY",48060,2024,273,264,9,0,0,0,0,80,44,33,0,0,273,0,0
"Wausau, WI",48140,2024,182,157,24,0,1,0,0,151,53,38,0,0,92,90,0
"Weirton-Steubenville, WV-OH",48260,2024,274,159,115,0,0,0,0,97,71,46,0,0,149,125,0
"Wenatchee, WA",48300,2024,213,178,31,3,1,0,0,158,63,25,0,0,0,213,0
"Wheeling, WV-OH",48540,2024,274,174,100,0,0,0,0,84,63,46,0,1,106,155,12
"Whitewater-Elkhorn, WI",48580,2024,98,76,22,0,0,0,0,97,61,44,0,0,98,0,0
"Wichita, KS",48620,2024,182,123,56,2,1,0,0,196,62,44,0,1,114,64,3
"Williamsport, PA",48700,2024,182,136,46,0,0,0,0,93,61,41,0,0,132,50,0
"Wilmington, NC",48900,2024,274,232,42,0,0,0,0,97,54,38,0,0,172,102,0
"Wilmington, OH",48940,2024,211,153,54,4,0,0,0,112,67,44,0,0,211,0,0
"Winchester, VA-WV",49020,2024,274,205,68,1,0,0,0,102,57,42,0,0,127,147,0
"Winona, MN",49100,2024,20,19,1,0,0,0,0,51,50,25,0,0,0,20,0
"Winston-Salem, NC",49180,2024,244,128,112,4,0,0,0,122,74,50,0,3,123,118,0
"Worcester, MA-CT",49340,2024,245,206,37,2,0,0,0,122,57,39,1,7,183,52,2
"Yakima, WA",49420,2024,213,162,47,3,1,0,0,153,61,31,0,0,0,212,1
"York-Hanover, PA",49620,2024,182,118,63,1,0,0,0,101,67,44,0,3,108,71,0
"Youngstown-Warren-Boardman, OH-PA",49660,2024,274,161,113,0,0,0,0,97,67,47,0,0,151,123,0
"Yuba City, CA",49700,2024,182,139,41,2,0,0,0,105,58,44,0,0,142,40,0
"Yuma, AZ",49740,2024,274,169,103,2,0,0,0,102,74,46,0,0,177,47,50
